Date,Action_Target,Price,Position_State,Portfolio_Value
2024-11-13,SHORT,77690.953125,-1,98254.37109375
2024-11-14,FLAT,77580.3125,0,98249.37109375
2024-11-18,SHORT,77339.0078125,-1,98009.99609375
2024-11-19,FLAT,77578.3828125,0,98004.99609375
2024-11-21,SHORT,77155.7890625,-1,96043.67578125
2024-11-22,FLAT,79117.109375,0,96038.67578125
2024-11-25,FLAT,80109.8515625,0,96038.67578125
2024-11-26,FLAT,80004.0625,0,96038.67578125
2024-11-27,FLAT,80234.078125,0,96038.67578125
2024-11-28,FLAT,79043.7421875,0,96038.67578125
2024-11-29,FLAT,79802.7890625,0,96038.67578125
2024-12-02,FLAT,80248.078125,0,96038.67578125
2024-12-03,FLAT,80845.75,0,96038.67578125
2024-12-04,FLAT,80956.328125,0,96038.67578125
2024-12-05,FLAT,81765.859375,0,96038.67578125
2024-12-06,FLAT,81709.1171875,0,96038.67578125
2024-12-09,FLAT,81508.4609375,0,96038.67578125
2024-12-10,FLAT,81510.046875,0,96038.67578125
2024-12-11,FLAT,81526.140625,0,96038.67578125
2024-12-12,FLAT,81289.9609375,0,96038.67578125
2024-12-13,FLAT,82133.1171875,0,96038.67578125
2024-12-16,FLAT,81748.5703125,0,96038.67578125
2024-12-17,FLAT,80684.453125,0,96038.67578125
2024-12-18,FLAT,80182.203125,0,96038.67578125
2024-12-19,FLAT,79218.046875,0,96038.67578125
2024-12-20,FLAT,78041.59375,0,96038.67578125
2024-12-23,FLAT,78540.171875,0,96038.67578125
2024-12-24,FLAT,78472.8671875,0,96038.67578125
2024-12-26,FLAT,78472.4765625,0,96038.67578125
2024-12-27,FLAT,78699.0703125,0,96038.67578125
2024-12-30,FLAT,78248.1328125,0,96038.67578125
2024-12-31,FLAT,78139.0078125,0,96038.67578125
2025-01-01,FLAT,78507.40625,0,96038.67578125
2025-01-02,FLAT,79943.7109375,0,96038.67578125
2025-01-03,FLAT,79223.109375,0,96038.67578125
2025-01-06,SHORT,77964.9921875,-1,95804.55859375
2025-01-07,FLAT,78199.109375,0,95799.55859375
2025-01-08,FLAT,78148.4921875,0,95799.55859375
2025-01-09,SHORT,77620.2109375,-1,96040.86328125
2025-01-10,FLAT,77378.90625,0,96035.86328125
2025-01-13,SHORT,76330.0078125,-1,95866.23828125
2025-01-14,FLAT,76499.6328125,0,95861.23828125
2025-01-15,FLAT,76724.078125,0,95861.23828125
2025-01-16,FLAT,77042.8203125,0,95861.23828125
2025-01-17,FLAT,76619.328125,0,95861.23828125
2025-01-20,FLAT,77073.4375,0,95861.23828125
2025-01-21,LONG,75838.359375,1,96427.87109375
2025-01-22,FLAT,76404.9921875,0,96422.87109375
2025-01-23,FLAT,76520.3828125,0,96422.87109375
2025-01-24,FLAT,76190.4609375,0,96422.87109375
2025-01-27,FLAT,75366.171875,0,96422.87109375
2025-01-28,FLAT,75901.40625,0,96422.87109375
2025-01-29,FLAT,76532.9609375,0,96422.87109375
2025-01-30,FLAT,76759.8125,0,96422.87109375
2025-01-31,FLAT,77500.5703125,0,96422.87109375
2025-02-03,FLAT,77186.7421875,0,96422.87109375
2025-02-04,FLAT,78583.8125,0,96422.87109375
2025-02-05,FLAT,78271.28125,0,96422.87109375
2025-02-06,FLAT,78058.15625,0,96422.87109375
2025-02-07,FLAT,77860.1875,0,96422.87109375
2025-02-10,FLAT,77311.796875,0,96422.87109375
2025-02-11,FLAT,76293.6015625,0,96422.87109375
2025-02-12,FLAT,76171.078125,0,96422.87109375
2025-02-13,FLAT,76138.96875,0,96422.87109375
2025-02-14,FLAT,75939.2109375,0,96422.87109375
2025-02-17,FLAT,75996.859375,0,96422.87109375
2025-02-18,FLAT,75967.390625,0,96422.87109375
